Index;Text;Verb_Syllables;Structural_priming;NP_Givenness;NP_Length;NP_Concreteness;NP_starting_tone;Response;Filename;TimePeriod;TimePeriod2;Genre;Formality;Mode;Region
930;唐先生半天没[[[说出话来]]]，那点难过劲儿碰到她这两句话，仿佛是正碰得合适，把妒恶别人的怨...;1;No;New;2;Non-concrete;4;Split;1930s\1936\文学\1936 老舍_文博士.txt;1930s;1;Fiction;Lower;Written;Mainland
54;...文钦，戕害掉洋员周尼思。太后怒道：“咱们这里没有办妥，他倒又[[[闹出乱子来]]]，不是要了我的命么？！洋人何等利害，偏又去惹他！;1;No;New;2;Non-concrete;4;Split;1920s\1921\文学\小说笔记\1921 陆士谔 清朝秘史.txt;1920s;1;Fiction;Lower;Written;Mainland
1635;...坐下来歇一歇。双喜擦着汗，滑稽的说：“啊呀，我的乖乖！可把我[[[压出油来]]]了。”大水抽着旱烟管儿，说：“哈，这下可有了柴禾啦。回去把这电...;1;No;New;1;Concrete;2;Split;1940s\1949\报刊\人民日报\rmrb_1949_05.txt;1940s;2;News_report;Higher;Written;Mainland
603;...想着，已是一步一步地走上了大门口。老远见大门半开，门上的电灯[[[放出光亮来]]]，果然一切都预备好了。走到大门下，已有两个门房站在大门一边伺候...;1;No;New;2;Concrete;1;Split;1930s\1932\文学\1932 张恨水 金粉世家.txt;1930s;1;Fiction;Lower;Written;Mainland
76;...。”几人都发了誓道：“我们受了那畜牲的恶气，正恨他入骨，怎肯[[[露出风声来]]]给他躲避？”沈铭鉴点头说道：“他有两个大仇人在神户警察署，只恨...;1;No;New;2;Non-concrete;2;Split;1920s\1922\文学\小说笔记\1922_10_1 向恺然 留东外史续集.txt;1920s;1;Fiction;Lower;Written;Mainland
1295;...，蒋政府的汉奸土匪们，仍不放松对泛区人民的勒索，硬要从糠秕里[[[榨出油来]]]！淮阳县西柳村一个老秀才叫陈伦，因为受不了蒋政府的讹榨而自杀，...;1;No;New;1;Concrete;2;Split;1940s\1947\报刊\人民日报\rmrb_1947_02.txt;1940s;2;News_report;Higher;Written;Mainland
1510;...比蜜还甜呢。他们自己吃着又让着，李昌还要去拉胡琴。但他们慢慢[[[看出严肃性来]]]了，他们问老董：“有事情发生了么？”;1;No;New;3;Non-concrete;4;Split;1940s\1948\文学\1948 丁玲 太阳照在桑干河上.txt;1940s;2;Fiction;Lower;Written;Mainland
1379;...地呢？现在地主吃的喝的住的那一样不比咱强的多？！”雇贫不仅能[[[看出事来]]]，在工作中办法也是最多的。当串连雇贫小组时，他们怕坏人混进来，...;1;No;New;1;Non-concrete;4;Split;1940s\1947\报刊\人民日报\rmrb_1947_10.txt;1940s;2;News_report;Higher;Written;Mainland
694;...回家，葬事固可等候将来再办。那位孝威夫人，不要痛夫情切，再去[[[闹出事来]]]。孝宽奉命回家，孝威夫人听了公公吩咐，或者好些。;1;No;New;1;Non-concrete;4;Split;1930s\1932\文学\小说笔记\1932 徐哲身 大清三杰（下）.txt;1930s;1;Fiction;Lower;Written;Mainland
710;...死了，是何等的……”他的泪象雨点般落下来。挣扎了半天，他才又[[[说出话来]]]：“诸位，别忘了教师的好处，有钱的帮点钱，有迷叶的帮点迷叶！诸...;1;No;New;1;Non-concrete;4;Split;1930s\1933\文学\1933 老舍 《猫城记》.txt;1930s;1;Fiction;Lower;Written;Mainland
1166;...的。他自然不便说北平比英国更好，但是当他有点酒意的时候，他会[[[说出真话来]]]：“我的骨头应当埋在西山静宜园外面！”;1;No;New;2;Non-concrete;1;Split;1940s\1945\文学\1945 老舍 四世同堂第二部_偷生.txt;1940s;2;Fiction;Lower;Written;Mainland
31;随即[[[摸出信来]]]，芝龙瞧时：四弟惠鉴：兄弟分别数载，聚首几日，忽然被挟而去，天...;1;No;New;1;Concrete;4;Split;1920s\1921\文学\小说笔记\1921 陆士谔 清朝秘史.txt;1920s;1;Fiction;Lower;Written;Mainland
813;四公公几乎[[[笑出眼泪来]]]了。他拿给我一把秧，教会我一个插田的脚步和姿势，就把我送到那最...;1;No;New;2;Concrete;3;Split;1930s\1935\文学\1935 叶紫 插田.txt;1930s;1;Fiction;Lower;Written;Mainland
614;...抹了胭脂似的，两个大红印子。润之望着敏之道：“这样子，又是要[[[熬出病来]]]的，作践身体何苦呢？”姊妹两人看到，也觉黯然，就默默相对的，在...;1;No;New;1;Non-concrete;4;Split;1930s\1932\文学\1932 张恨水 金粉世家.txt;1930s;1;Fiction;Lower;Written;Mainland
573;...“特意让我解下来，交给你，又为什么不要呢？”清秋停了一下，才[[[说出原由来]]]，燕西也就跟着笑了。上一页;1;No;New;2;Non-concrete;2;Split;1930s\1932\文学\1932 张恨水 金粉世家.txt;1930s;1;Fiction;Lower;Written;Mainland
695;恭王也怕这班贝子贝勒，去和左宗棠为难。[[[闹出事来]]]，害他要受太后闲话，只好叮嘱那班贝子贝勒，大家暂且忍耐，这是敷...;1;No;New;1;Non-concrete;4;Split;1930s\1932\文学\小说笔记\1932 徐哲身 大清三杰（下）.txt;1930s;1;Fiction;Lower;Written;Mainland
1650;...里面的伪军不提防，连忙放下了吊桥。双喜一声不响的走进去，突然[[[拔出枪来]]]，把他们比住了；高屯儿一伙人冲进去，一枪也没打，就把岗楼拿下了...;1;No;New;1;Concrete;1;Split;1940s\1949\报刊\人民日报\rmrb_1949_06.txt;1940s;2;News_report;Higher;Written;Mainland
755;青年妇人怀里的小孩子又[[[哭出声音来]]]，把头钻在妇人的胸口，低声叫“妈”了。直觉到自己的小宝贝还是活...;1;No;New;2;Concrete;1;Split;1930s\1933\文学\1933 茅盾 子夜.txt;1930s;1;Fiction;Lower;Written;Mainland
1484;...来的材料用完了，但是马上又领不到，因此看护员同志们都便自动地[[[拿出被单来]]]，解决了绷带的危机；并积极想办法克服重重困难。;1;No;New;2;Concrete;4;Split;1940s\1948\报刊\人民日报\rmrb_1948_11.txt;1940s;2;News_report;Higher;Written;Mainland
476;...经进来了还不知道，灵帏里寂然无声，后来受了礼生的暗示才突然爆[[[发出哭声来]]]的。;2;No;New;2;Concrete;1;Split;1930s\1931\文学\1931 巴金 家.txt;1930s;1;Fiction;Lower;Written;Mainland
1574;混　你们说我偷，你们给我[[[找出证据来]]]！;1;No;New;2;Non-concrete;4;Split;1940s\1949\报刊\人民日报\rmrb_1949_01.txt;1940s;2;News_report;Higher;Written;Mainland
1189;...结，他们又发现了“弊病”。为什么有一些货物定价特别低呢？他们[[[调出旧账来]]]：“是呀，你定的价钱，比收货时候的价钱还低呀！怎回事？”;1;No;New;2;Concrete;4;Split;1940s\1945\文学\1945 老舍 四世同堂第二部_偷生.txt;1940s;2;Fiction;Lower;Written;Mainland
1754;...因为枳机草的纤维，比普通造人造丝的麻纤维或木纤维，都好得多，[[[制出人造丝来]]]，质量会很好。;1;No;Given;3;Concrete;2;Split;1940s\1949\报刊\人民日报\rmrb_1949_12.txt;1940s;2;News_report;Higher;Written;Mainland
494;老是愁闷，恐怕会[[[闷出病来]]]。’;1;No;New;1;Non-concrete;4;Split;1930s\1931\文学\大陆作家\1931 巴金 家.txt;1930s;1;Fiction;Lower;Written;Mainland
1148;...着枪声，有时候是一个单响，有时候是一串。举人公的嗓子里干得要[[[冒出火来]]]。他越要想一想这是什么事，他的腿越发软。他须用最大的力量去支持...;1;No;New;1;Concrete;3;Split;1940s\1944\文学\1944 老舍 火葬.txt;1940s;2;Fiction;Lower;Written;Mainland
624;...，或是一张嘴，或是一缕头发；没有看到自家儿整个的脸。绅士们全[[[拿出烟来]]]，擦火柴点他们的最后的一支。;1;No;New;1;Concrete;1;Split;1930s\1932\文学\1932 穆时英 夜总会里的五个人.txt;1930s;1;Fiction;Lower;Written;Mainland
912;“西口把严没有？”包善卿好容易[[[说出话来]]]。;1;No;New;1;Non-concrete;4;Split;1930s\1936\文学\1936 老舍 蛤藻集.txt;1930s;1;Fiction;Lower;Written;Mainland
220;...着红脸汉，走过村庄中来，回头望着胡大海说道：“如何？不是被你[[[弄出事来]]]了吗？”胡大海见面不相识的人来邀他进去喝茶，不知是好是歹，知道...;1;No;New;1;Non-concrete;4;Split;1920s\1927\文学\小说笔记\1927 许啸天 明代宫闱史.txt;1920s;1;Fiction;Lower;Written;Mainland
836;...着向外面移步了。我扶着他，走下了西坡，老哥哥的村庄已在炊烟中[[[显出影子来]]]了。;1;No;New;2;Concrete;3;Split;1930s\1935\文学\1935 臧克家 老哥哥.txt;1930s;1;Fiction;Lower;Written;Mainland
1388;...的利益是什么？人民说，我们需要人力，那么就应该复员，把孩子们[[[拖出军队来]]]。我们需要削减预算的不少数目，那么就应该减少武装力量的支出，结...;1;No;New;2;Concrete;1;Split;1940s\1947\报刊\人民日报\rmrb_1947_11.txt;1940s;2;News_report;Higher;Written;Mainland
602;...不平的样子了。凤举自父亲去世以后，孝心是格外的重了，每日都要[[[抽出工夫来]]]，陪着母亲说说话。而且每日的帐目，金太太大致要问一问，小节目都...;1;No;New;2;Non-concrete;1;Split;1930s\1932\文学\1932 张恨水 金粉世家.txt;1930s;1;Fiction;Lower;Written;Mainland
1534;两人同意从果实中先垫一床麻花被子给老王太太，[[[作出价来]]]，记在账上。;1;No;New;1;Concrete;4;Split;1940s\1948\文学\1948 周立波 暴风骤雨.txt;1940s;2;Fiction;Lower;Written;Mainland
1494;...错的野战工事里的敌人，炸弹还不断的向他们打来。刘志山发现敌人[[[露出身子来]]]才能投弹，于是毛孩就与老刘分工，一人投弹时另一人就专门打枪，压...;1;No;New;2;Concrete;1;Split;1940s\1948\报刊\人民日报\rmrb_1948_12.txt;1940s;2;News_report;Higher;Written;Mainland
1879;地里很湿，泥土翻过马上[[[涌出水来]]]，扶犁战士的两支脚整天是湿的，好些人的脚踵已经龟裂。拿惯枪杆子...;1;No;New;1;Concrete;3;Split;1950s\1950\报刊\人民日报\rmrb_1950_07.txt;1950s;2;News_report;Higher;Written;Mainland
4;...擂砖的，也有追车的，也有坐着喊的，也有放鹰的(穷妇坐在一旁，[[[撒出孩子来]]]，追人要钱。在他们穷坎儿，叫作放鹰。饶跟人寻钱，还拿人比兔儿，...;1;No;New;2;Concrete;2;Split;1920s\1920\文学\1920 蔡友梅 益世余谭_1920.txt;1920s;1;Fiction;Lower;Written;Mainland
1182;...的，需要长时间的培养。瑞丰没有作过官，而想在一旦之间就十足的[[[摆出官架子来]]]，所以他的架子都不够板眼。对于上司，他过分的巴结，而巴结得不是...;1;No;New;3;Non-concrete;1;Split;1940s\1945\文学\1945 老舍 四世同堂第二部_偷生.txt;1940s;2;Fiction;Lower;Written;Mainland
757;...又有个霹雳像沉重的罩子似的落下来，所有的人声都被淹没。杜竹斋[[[拿出雪茄来]]]燃上了，猛抽了几口，慢慢地说：;1;No;New;2;Concrete;3;Split;1930s\1933\文学\1933 茅盾 子夜.txt;1930s;1;Fiction;Lower;Written;Mainland
343;天生不该生，地不该长，怎的这样地油蒙了心，[[[说出话来]]]，不晓得一些高下呢？”他笑道：“姐姐，肯就肯，不肯就算了，急的...;1;No;New;1;Non-concrete;4;Split;1920s\1928\文学\小说笔记\1928 徐哲身 汉代宫廷艳史.txt;1920s;1;Fiction;Lower;Written;Mainland
1115;...不同之处。可是，他也能很大方。在应当买脸面的时候，他会狠心的[[[拿出钱来]]]，好不致于教他的红鼻子减少了光彩。假若有人给他一瓶好酒，他的鼻...;1;No;New;1;Non-concrete;2;Split;1940s\1944\文学\1944 老舍 四世同堂第一部_惶惑.txt;1940s;2;Fiction;Lower;Written;Mainland
1091;...日头里晒了一上午又一下午，像烂熟的水果一般，往下坠着，坠着，[[[发出香味来]]]。;1;No;New;2;Non-concrete;1;Split;1940s\1944\文学\1944 张爱玲 金锁记.txt;1940s;2;Fiction;Lower;Written;Mainland
37;皇太后见高宗悲伤不已，怕他因此[[[闷出病来]]]，特把高宗传到慈宁宫，着实开导一番，并要替他立刻选立皇后。高宗...;1;No;New;1;Non-concrete;4;Split;1920s\1921\文学\小说笔记\1921 陆士谔 清朝秘史.txt;1920s;1;Fiction;Lower;Written;Mainland
1119;...而不能把它们联成一气，找出意思来。又待了一会儿，钱先生正式的[[[说出话来]]]：“好吧！再打吧！我没的说！没的说！”说着，他的手——与他的脚...;1;Split;New;1;Non-concrete;4;Split;1940s\1944\文学\1944 老舍 四世同堂第一部_惶惑.txt;1940s;2;Fiction;Lower;Written;Mainland
415;...缄默不言，袖手旁观呢？”匡胤深知郑恩性情暴躁，倘与辩白，恐怕[[[惹出事来]]]。便含笑答道：“贤弟责备，我已知过，停会儿请至我处，共商挽回之...;1;No;New;1;Non-concrete;4;Split;1920s\1929\文学\小说笔记\1929 许慕羲 宋代宫闱史.txt;1920s;1;Fiction;Lower;Written;Mainland
1506;“唉，”刘满从心底里[[[抽出一口气来]]]，半天没言语，停了一会，才说：“这是咱家，咱哥不在，进去坐会儿...;1;No;New;3;Concrete;1;Split;1940s\1948\文学\1948 丁玲 太阳照在桑干河上.txt;1940s;2;Fiction;Lower;Written;Mainland
1622;...看“红旗歌”的观众人人有份，以大家负责的精神毫不客气，给我们[[[提出意见来]]]。;1;No;New;2;Non-concrete;4;Split;1940s\1949\报刊\人民日报\rmrb_1949_05.txt;1940s;2;News_report;Higher;Written;Mainland
1106;以祁老人的饱经患难，他的小眼睛里是不肯轻易[[[落出泪来]]]的。但是，现在他的眼有点看不清前面的东西了。他已经活了七十五岁...;1;No;New;1;Concrete;4;Split;1940s\1944\文学\1944 老舍 四世同堂第一部_惶惑.txt;1940s;2;Fiction;Lower;Written;Mainland
